,open,high,low,close,adjclose,volume,ticker
2003-08-02,22.25,22.540000915527344,21.94499969482422,22.424999237060547,12.421298027038574,38042800,KO
2003-08-09,22.399999618530273,22.584999084472656,22.100000381469727,22.5049991607666,12.465604782104492,32654400,KO
2003-08-16,22.5049991607666,22.549999237060547,21.600000381469727,21.639999389648438,11.986477851867676,39304800,KO
2003-08-23,21.725000381469727,22.25,21.639999389648438,21.760000228881836,12.052947044372559,35315400,KO
2003-08-30,21.71500015258789,22.399999618530273,21.540000915527344,22.075000762939453,12.227429389953613,44736200,KO
2003-09-06,22.200000762939453,22.625,21.844999313354492,21.9950008392334,12.183115005493164,48376800,KO
2003-09-13,21.9950008392334,21.9950008392334,21.264999389648438,21.59000015258789,12.017606735229492,60592800,KO
2003-09-20,21.59000015258789,21.81999969482422,21.350000381469727,21.514999389648438,11.97585678100586,52160600,KO
2003-09-27,21.5049991607666,22.719999313354492,21.299999237060547,22.020000457763672,12.256949424743652,51588600,KO
2003-10-04,22.100000381469727,22.3799991607666,21.854999542236328,21.915000915527344,12.198508262634277,40375800,KO
2003-10-11,22.024999618530273,22.760000228881836,21.90999984741211,22.524999618530273,12.538050651550293,56683000,KO
2003-10-18,22.600000381469727,22.985000610351562,22.420000076293945,22.700000762939453,12.635462760925293,40727800,KO
2003-10-25,22.700000762939453,23.200000762939453,22.3799991607666,23.200000762939453,12.913776397705078,47650800,KO
2003-11-01,23.200000762939453,23.520000457763672,23.100000381469727,23.315000534057617,12.977783203125,40406000,KO
2003-11-08,23.225000381469727,23.584999084472656,23.145000457763672,23.344999313354492,12.99448299407959,30639600,KO
2003-11-15,23.229999542236328,23.459999084472656,23.059999465942383,23.209999084472656,12.919343948364258,37145200,KO
2003-11-22,23.19499969482422,23.440000534057617,23.09000015258789,23.25,12.941610336303711,24779200,KO
2003-11-29,23.325000762939453,23.844999313354492,23.19499969482422,23.44499969482422,13.112098693847656,46667800,KO
2003-12-06,23.375,24.764999389648438,23.30500030517578,24.684999465942383,13.805583953857422,59658200,KO
2003-12-13,24.905000686645508,25.450000762939453,24.704999923706055,25.049999237060547,14.009716987609863,73761000,KO
2003-12-20,25.024999618530273,25.174999237060547,24.875,24.979999542236328,13.970572471618652,22381400,KO
2003-12-27,24.94499969482422,25.4950008392334,24.885000228881836,25.174999237060547,14.079626083374023,28404800,KO
2004-01-03,25.174999237060547,25.405000686645508,24.790000915527344,24.795000076293945,13.867107391357422,50404800,KO
2004-01-10,24.75,25.100000381469727,24.59000015258789,24.940000534057617,13.94820785522461,43948600,KO
2004-01-17,24.850000381469727,25.075000762939453,24.514999389648438,25.020000457763672,13.992940902709961,39120400,KO
2004-01-24,24.950000762939453,25.290000915527344,24.325000762939453,24.6200008392334,13.769233703613281,48289000,KO
2004-01-31,24.5,25.5,24.459999084472656,25.4950008392334,14.258599281311035,45773400,KO
2004-02-07,25.549999237060547,26.389999389648438,25.524999618530273,25.56999969482422,14.300542831420898,49487600,KO
2004-02-14,25.649999618530273,25.690000534057617,25.079999923706055,25.469999313354492,14.244613647460938,39240200,KO
2004-02-21,25.274999618530273,25.549999237060547,24.309999465942383,24.979999542236328,13.970572471618652,60234800,KO
2004-02-28,24.864999771118164,25.125,24.274999618530273,25.049999237060547,14.009716987609863,70780000,KO
2004-03-06,24.989999771118164,25.299999237060547,23.84000015258789,24.225000381469727,13.548320770263672,71026400,KO
2004-03-13,24.325000762939453,24.75,23.790000915527344,24.389999389648438,13.70928955078125,59952000,KO
2004-03-20,24.174999237060547,24.579999923706055,23.975000381469727,24.389999389648438,13.70928955078125,46874400,KO
2004-03-27,24.690000534057617,25.530000686645508,24.59000015258789,25.46500015258789,14.313529968261719,52949000,KO
2004-04-03,25.375,25.78499984741211,25.06999969482422,25.6200008392334,14.40065860748291,38732800,KO
2004-04-10,25.524999618530273,26.024999618530273,25.274999618530273,25.96500015258789,14.594573974609375,50990000,KO
2004-04-17,26.149999618530273,26.75,25.350000381469727,25.524999618530273,14.34725570678711,73895400,KO
2004-04-24,25.524999618530273,25.614999771118164,24.889999389648438,25.28499984741211,14.212361335754395,53539600,KO
2004-05-01,25.325000762939453,25.790000915527344,24.950000762939453,25.3700008392334,14.2601318359375,49237400,KO
2004-05-08,25.25,25.299999237060547,24.625,25.0,14.052155494689941,48327400,KO
2004-05-15,24.815000534057617,25.239999771118164,24.584999084472656,24.690000534057617,13.877910614013672,43621000,KO
2004-05-22,24.799999237060547,25.75,24.700000762939453,25.674999237060547,14.43156623840332,48075600,KO
2004-05-29,25.600000381469727,26.2450008392334,25.360000610351562,26.135000228881836,14.6901273727417,33955000,KO
2004-06-05,26.135000228881836,26.375,25.614999771118164,25.815000534057617,14.510261535644531,38809400,KO
2004-06-12,25.614999771118164,25.924999237060547,25.344999313354492,25.69499969482422,14.44281005859375,40778200,KO
2004-06-19,25.649999618530273,25.84000015258789,25.049999237060547,25.049999237060547,14.148771286010742,35592200,KO
2004-06-26,25.174999237060547,25.56999969482422,25.100000381469727,25.264999389648438,14.270208358764648,39870400,KO
2004-07-03,25.229999542236328,25.565000534057617,25.09000015258789,25.510000228881836,14.408588409423828,28192200,KO
2004-07-10,25.510000228881836,25.69499969482422,25.155000686645508,25.290000915527344,14.284332275390625,36113800,KO
2004-07-17,25.325000762939453,25.344999313354492,22.05500030517578,22.584999084472656,12.756488800048828,85905800,KO
2004-07-24,22.674999237060547,22.735000610351562,21.399999618530273,21.93000030517578,12.386531829833984,119112600,KO
2004-07-31,21.895000457763672,22.299999237060547,21.614999771118164,21.75,12.284865379333496,70935200,KO
2004-08-07,21.75,22.31999969482422,21.530000686645508,22.184999465942383,12.530559539794922,53761600,KO
2004-08-14,22.25,22.40999984741211,21.780000686645508,22.104999542236328,12.485376358032227,46360200,KO
2004-08-21,22.1200008392334,22.44499969482422,21.854999542236328,22.360000610351562,12.629404067993164,39288800,KO
2004-08-28,22.25,22.940000534057617,22.010000228881836,22.7450008392334,12.846863746643066,39943400,KO
2004-09-04,22.850000381469727,22.899999618530273,21.334999084472656,21.479999542236328,12.132362365722656,70159400,KO
2004-09-11,21.399999618530273,21.594999313354492,19.975000381469727,20.149999618530273,11.381150245666504,165555600,KO
2004-09-18,20.200000762939453,20.4950008392334,19.864999771118164,19.9950008392334,11.359710693359375,80530000,KO
2004-09-25,19.614999771118164,20.385000228881836,19.614999771118164,20.155000686645508,11.450603485107422,73049600,KO
2004-10-02,20.174999237060547,20.56999969482422,19.954999923706055,20.0,11.362549781799316,63524200,KO
